supplier_id;kind;paceSetter_line;name;part_of;claimed_by
CM333PK;ORPHAN;CM333PK;;;p-8784-leatherette-bottle-opener
CM333RW;ORPHAN;CM333RW;;;p-8784-leatherette-bottle-opener
CM335BS;PART;CM335;;CM335;p-8812-leatherette-poker-set
CM335GR;PART;CM335;;CM335;p-8812-leatherette-poker-set
CM356BB;PART;CM356*;;CM356BL CM356BS CM356DB CM356GR CM356LB CM356PK CM356RS CM356RW CM356TL;p-8092-leatherette-pen
CM356BL;PRODUCT;CM356*;Leatherette Pen;CM356BS CM356DB CM356GR CM356LB CM356PK CM356RS CM356RW CM356TL;p-8808-leatherette-pen-large
CM356BS;PRODUCT;CM356*;Leatherette Pen;CM356BL CM356DB CM356GR CM356LB CM356PK CM356RS CM356RW CM356TL;p-8808-leatherette-pen-large
CM356BV;PART;CM356*;;CM356BL CM356BS CM356DB CM356GR CM356LB CM356PK CM356RS CM356RW CM356TL;p-8092-leatherette-pen
CM356DB;PRODUCT;CM356*;Leatherette Pen;CM356BL CM356BS CM356GR CM356LB CM356PK CM356RS CM356RW CM356TL;p-8808-leatherette-pen-large
CM356GR;PRODUCT;CM356*;Leatherette Pen;CM356BL CM356BS CM356DB CM356LB CM356PK CM356RS CM356RW CM356TL;p-8808-leatherette-pen-large
CM356LB;PRODUCT;CM356*;Leatherette Pen;CM356BL CM356BS CM356DB CM356GR CM356PK CM356RS CM356RW CM356TL;p-8808-leatherette-pen-large
CM356PK;PRODUCT;CM356*;Leatherette Pen;CM356BL CM356BS CM356DB CM356GR CM356LB CM356RS CM356RW CM356TL;p-8808-leatherette-pen-large
CM356RS;PRODUCT;CM356*;Leatherette Pen;CM356BL CM356BS CM356DB CM356GR CM356LB CM356PK CM356RW CM356TL;p-8808-leatherette-pen-large
CM356RW;PRODUCT;CM356*;Leatherette Pen;CM356BL CM356BS CM356DB CM356GR CM356LB CM356PK CM356RS CM356TL;p-8808-leatherette-pen-large
